WV_633,EEA1_633_sample_1,EEA1_633_buffer_1,EEA1_633_sample_2,EEA1_633_buffer_2,EEA1_633_sample_3,EEA1_633_buffer_3,EEA1_Rab5GTP_633_sample_1,EEA1_Rab5GTP_633_buffer_1,EEA1_Rab5GTP_633_sample_2,EEA1_Rab5GTP_633_buffer_2,EEA1_Rab5GTP_633_sample_3,EEA1_Rab5GTP_633_buffer_3
650,527,91,534,99,496,94,464,92,484,95,472,95
652,539,12,541,22,543,22,506,37,509,24,538,28
654,651,20,653,20,644,14,565,22,614,15,593,15
656,778,24,739,30,767,9,728,24,712,11,719,17
658,846,4,839,13,887,4,805,17,826,8,779,29
660,957,14,979,12,978,18,850,18,894,1,918,12
662,1115,9,1053,16,1051,12,987,11,982,10,991,12
664,1118,6,1097,14,1118,15,1036,10,1016,6,993,19
666,1188,7,1158,17,1142,16,1072,7,1059,4,1045,27
668,1202,6,1125,18,1144,21,1140,22,1112,8,1014,13
670,1159,14,1190,8,1192,7,1078,18,1152,15,1123,7
672,1155,9,1129,22,1206,11,1102,21,1055,13,1066,10
674,1158,15,1119,11,1167,11,1020,10,1088,19,1029,15
676,1121,17,1088,22,1078,3,1027,26,1044,9,1045,12
678,1070,7,1030,18,1034,9,953,12,949,7,916,29
680,945,9,959,24,984,4,888,14,867,18,861,16
682,863,7,858,13,842,9,780,12,745,7,746,16
684,803,15,787,21,809,16,727,12,734,17,710,15
686,769,5,802,33,757,15,735,18,693,4,654,14
688,706,4,687,15,674,17,598,4,584,18,561,16
690,590,1,616,21,578,11,583,13,528,11,516,23
692,530,9,519,25,569,9,519,13,503,15,507,25
694,469,26,475,21,437,16,423,9,457,6,440,30
696,427,-2,419,22,409,27,394,36,415,27,403,29
698,376,10,391,25,373,17,405,22,361,9,349,15
700,371,2,366,24,362,18,333,12,341,3,301,16
702,349,10,307,31,318,12,325,21,286,9,301,12
704,321,6,317,11,302,20,298,8,309,5,333,11
706,292,21,282,27,295,24,266,6,295,8,282,15
708,278,3,272,18,294,6,302,19,308,11,304,27
710,259,11,267,18,301,4,262,30,246,4,257,17
712,276,16,280,19,266,14,229,12,271,22,269,25
714,255,20,290,20,280,9,259,11,218,23,245,25
716,244,5,256,31,215,13,269,23,212,33,219,13
718,242,19,271,28,228,8,241,13,243,13,243,25
720,240,-3,234,25,263,8,225,16,216,11,232,12
722,246,15,243,29,221,24,243,24,261,18,220,21
724,257,6,268,15,232,18,221,12,206,14,269,12
726,253,8,257,13,233,7,242,29,242,6,229,20
728,234,17,247,17,251,19,240,11,189,5,247,22
730,216,1,245,26,241,10,200,25,206,15,197,10
732,226,17,248,18,233,21,225,13,222,13,208,10
734,225,27,224,23,201,8,214,15,192,20,220,21
736,207,15,220,10,222,14,176,13,224,13,211,15
738,220,11,218,25,217,12,188,-2,188,3,189,11
740,185,11,200,15,172,9,193,10,187,6,179,23
742,174,3,188,5,185,8,173,10,181,-5,190,15
744,173,14,165,15,169,9,174,22,187,14,167,14
746,184,1,161,32,167,19,168,14,164,12,156,20
748,190,17,166,8,162,3,155,20,156,12,157,36
750,151,4,152,22,161,30,109,16,140,10,137,20
752,140,-3,140,20,121,18,126,19,127,19,125,30
754,109,20,124,21,117,15,134,33,125,14,134,24
756,102,9,116,31,145,16,121,11,151,5,137,20
758,133,10,130,22,133,11,127,11,92,7,82,12
760,101,16,103,23,95,16,105,19,100,15,107,20
762,82,16,102,28,107,34,92,16,79,-4,102,23
764,97,16,98,26,86,17,102,16,72,22,107,17
766,76,10,82,25,87,13,75,33,71,13,78,17
768,84,9,111,26,91,23,86,31,75,-6,65,19
770,84,11,107,11,87,30,83,12,56,7,94,19
772,73,21,81,32,70,35,81,29,66,30,75,24
774,75,15,99,21,92,6,80,32,73,12,84,11
776,76,15,74,36,72,17,83,16,89,23,51,21
778,41,2,91,25,56,17,67,22,53,15,56,37
780,64,21,78,22,49,10,39,43,46,-3,63,21
782,52,24,113,40,48,13,69,23,26,8,93,3
784,42,31,68,17,55,7,61,34,22,21,67,23
786,62,16,74,37,47,23,62,30,34,20,59,23
788,65,13,72,35,64,19,42,41,56,5,87,32
790,74,28,95,39,73,6,69,45,77,26,72,31
792,40,4,74,27,23,49,54,39,64,35,53,11
794,43,30,69,40,44,43,44,51,37,24,79,34
796,58,20,54,60,53,20,37,17,65,-5,71,16
798,51,5,65,26,44,11,47,14,49,-4,40,10
800,61,11,75,32,46,31,49,27,55,6,50,24
