xy,xy488,xy647,z,z488,z647
0,1,1,0,1.0529,1.7554
0.03295,1,1,0.2,1.1125,1.8723
0.06589,10,0,0.4,1.2008,1.9552
0.09884,0,1,0.6,1.3137,2.0497
0.13179,0,10,0.8,1.5041,2.3403
0.16474,0,9,1,1.8197,2.7102
0.19768,0,1,1.2,2.1006,3.0999
0.23063,0,1,1.4,2.4301,3.619
0.26358,0,6,1.6,2.9225,4.0992
0.29652,0,1,1.8,3.6313,5.0722
0.32947,0,0,2,4.7446,6.5154
0.36242,0,1,2.2,6.8347,9.1717
0.39536,0,0,2.4,9.5774,12.7049
0.42831,0,0,2.6,12.1684,17.6696
0.46126,0,2,2.8,13.8165,23.846
0.49421,0,6,3,14.1117,32.2244
0.52715,1,1,3.2,13.2823,44.4113
0.5601,0,1,3.4,11.2516,50.9559
0.59305,0,2,3.6,8.6711,43.9381
0.62599,6,1,3.8,6.9076,29.8243
0.65894,4,1,4,5.4216,18.8246
0.69189,0,0,4.2,4.1105,12.3907
0.72484,0,9,4.4,3.0524,8.2052
0.75778,4,0,4.6,2.3024,5.6279
0.79073,3,1,4.8,1.8169,4.2331
0.82368,0,6,5,1.5735,3.4757
0.85662,1,4,5.2,1.3716,3.1183
0.88957,0,0,5.4,1.2511,2.8051
0.92252,0,1,5.6,1.1727,2.5049
0.95546,1,1,5.8,1.0285,2.1691
0.98841,1,1,6,0.9389,1.978
1.02136,0,1,,,
1.05431,0,0,,,
1.08725,0,1,,,
1.1202,0,10,,,
1.15315,1,1,,,
1.18609,0,1,,,
1.21904,1,3,,,
1.25199,0,16,,,
1.28494,0,10,,,
1.31788,3,8,,,
1.35083,1,6,,,
1.38378,10,18,,,
1.41672,5,16,,,
1.44967,0,5,,,
1.48262,1,10,,,
1.51556,0,17,,,
1.54851,0,11,,,
1.58146,10,15,,,
1.61441,0,16,,,
1.64735,12,21,,,
1.6803,1,19,,,
1.71325,0,6,,,
1.74619,4,17,,,
1.77914,12,30,,,
1.81209,8,42,,,
1.84504,1,35,,,
1.87798,10,18,,,
1.91093,30,47,,,
1.94388,6,56,,,
1.97682,22,45,,,
2.00977,11,19,,,
2.04272,15,50,,,
2.07566,7,74,,,
2.10861,15,65,,,
2.14156,25,81,,,
2.17451,15,114,,,
2.20745,39,143,,,
2.2404,32,156,,,
2.27335,51,176,,,
2.30629,52,200,,,
2.33924,86,171,,,
2.37219,100,217,,,
2.40514,62,191,,,
2.43808,34,159,,,
2.47103,44,151,,,
2.50398,28,78,,,
2.53692,46,73,,,
2.56987,6,81,,,
2.60282,10,63,,,
2.63576,26,73,,,
2.66871,33,50,,,
2.70166,26,30,,,
2.73461,11,42,,,
2.76755,9,57,,,
2.8005,22,40,,,
2.83345,23,5,,,
2.86639,2,22,,,
2.89934,8,46,,,
2.93229,9,16,,,
2.96523,5,14,,,
2.99818,11,8,,,
3.03113,14,2,,,
3.06408,2,45,,,
3.09702,4,11,,,
3.12997,7,13,,,
3.16292,6,23,,,
3.19586,4,13,,,
3.22881,0,10,,,
3.26176,0,33,,,
3.29471,0,9,,,
3.32765,6,14,,,
3.3606,1,16,,,
3.39355,0,7,,,
3.42649,2,7,,,
3.45944,9,15,,,
3.49239,5,8,,,
3.52534,0,5,,,
3.55828,4,29,,,
3.59123,6,4,,,
3.62418,0,17,,,
3.65712,2,22,,,
3.69007,8,13,,,
3.72302,9,12,,,
3.75596,0,3,,,
3.78891,17,1,,,
3.82186,0,13,,,
3.85481,0,13,,,
3.88775,1,1,,,
3.9207,0,7,,,
3.95365,0,5,,,
3.98659,0,1,,,
4.01954,0,1,,,
4.05249,1,3,,,
4.08543,3,4,,,
4.11838,2,4,,,
4.15133,0,6,,,
4.18428,0,11,,,
4.21722,0,3,,,
4.25017,0,1,,,
4.28312,0,7,,,
4.31606,0,18,,,
4.34901,0,6,,,
4.38196,0,9,,,
4.41491,4,3,,,
4.44785,2,2,,,
4.4808,0,11,,,
4.51375,1,0,,,
4.54669,2,6,,,
4.57964,5,2,,,
4.61259,3,5,,,
4.64553,8,7,,,
4.67848,0,1,,,
4.71143,0,7,,,
4.74438,2,10,,,
4.77732,0,1,,,
4.81027,1,1,,,
4.84322,0,2,,,
4.87616,0,2,,,
4.90911,3,2,,,
4.94206,1,7,,,
4.97501,2,11,,,
5.00795,2,6,,,
5.0409,0,1,,,
5.07385,9,1,,,
5.10679,3,9,,,
5.13974,7,9,,,
5.17269,6,15,,,
5.20564,4,1,,,
5.23858,2,1,,,
5.27153,1,1,,,
5.30448,0,6,,,
5.33742,0,0,,,
5.37037,0,1,,,
5.40332,0,9,,,
5.43626,0,2,,,
5.46921,0,4,,,
